,highPrice,lowPrice,openingPrice,tradePrice
0,1.64,1.61,1.64,1.61
1,1.62,1.61,1.62,1.61
2,1.63,1.61,1.63,1.61
3,1.63,1.62,1.63,1.62
4,1.63,1.62,1.63,1.62
5,1.67,1.6,1.64,1.6
6,1.65,1.62,1.62,1.65
7,1.64,1.58,1.62,1.62
8,1.65,1.63,1.65,1.63
9,1.64,1.61,1.61,1.64
10,1.64,1.64,1.64,1.64
11,1.62,1.61,1.61,1.61
12,1.61,1.6,1.6,1.61
13,1.68,1.6,1.68,1.61
14,1.69,1.66,1.66,1.68
15,1.66,1.65,1.66,1.65
16,1.69,1.69,1.69,1.69
17,1.7,1.68,1.68,1.7
18,1.68,1.64,1.64,1.68
19,1.64,1.62,1.62,1.64
20,1.62,1.62,1.62,1.62
21,1.62,1.57,1.59,1.62
22,1.63,1.61,1.63,1.62
23,1.63,1.61,1.61,1.63
24,1.58,1.58,1.58,1.58
25,1.58,1.55,1.56,1.58
26,1.58,1.55,1.58,1.55
27,1.64,1.64,1.64,1.64
28,1.62,1.55,1.62,1.57
29,1.64,1.53,1.61,1.62
30,1.65,1.6,1.6,1.65
31,1.6,1.56,1.56,1.59
32,1.59,1.56,1.59,1.56
33,1.6,1.57,1.57,1.59
34,1.63,1.57,1.58,1.58
35,1.62,1.62,1.62,1.62
36,1.62,1.61,1.61,1.62
37,1.57,1.56,1.57,1.57
38,1.57,1.57,1.57,1.57
39,1.65,1.54,1.55,1.54
40,1.54,1.54,1.54,1.54
41,1.54,1.5,1.5,1.54
42,1.49,1.48,1.48,1.49
43,1.42,1.42,1.42,1.42
44,1.42,1.41,1.41,1.42
45,1.42,1.41,1.41,1.42
46,1.42,1.3,1.39,1.42
47,1.39,1.39,1.39,1.39
48,1.42,1.31,1.42,1.31
49,1.36,1.35,1.35,1.36
50,1.34,1.34,1.34,1.34
51,1.38,1.34,1.38,1.34
52,1.42,1.38,1.4,1.42
53,1.42,1.42,1.42,1.42
54,1.5,1.41,1.45,1.42
55,1.5,1.38,1.38,1.5
56,1.38,1.38,1.38,1.38
57,1.38,1.35,1.38,1.35
58,1.35,1.34,1.35,1.34
59,1.39,1.35,1.39,1.35
60,1.4,1.36,1.4,1.36
61,1.43,1.4,1.43,1.4
62,1.54,1.42,1.54,1.42
63,1.54,1.52,1.52,1.54
64,1.54,1.53,1.53,1.54
65,1.51,1.5,1.5,1.51
66,1.49,1.49,1.49,1.49
67,1.49,1.48,1.49,1.49
68,1.48,1.44,1.46,1.48
69,1.51,1.46,1.5,1.46
70,1.5,1.5,1.5,1.5
71,1.48,1.48,1.48,1.48
72,1.47,1.46,1.46,1.47
73,1.45,1.45,1.45,1.45
74,1.46,1.45,1.45,1.46
75,1.45,1.44,1.44,1.45
76,1.46,1.44,1.46,1.44
77,1.48,1.46,1.48,1.46
78,1.54,1.47,1.54,1.47
79,1.55,1.48,1.55,1.48
80,1.55,1.49,1.49,1.55
81,1.52,1.51,1.52,1.52
82,1.53,1.48,1.48,1.48
83,1.49,1.46,1.49,1.46
84,1.53,1.46,1.46,1.5
85,1.47,1.41,1.46,1.47
86,1.47,1.38,1.42,1.46
87,1.43,1.4,1.43,1.4
88,1.46,1.42,1.46,1.42
89,1.48,1.47,1.48,1.47
90,1.55,1.47,1.48,1.5
91,1.54,1.47,1.54,1.47
92,1.56,1.42,1.44,1.42
93,1.47,1.42,1.47,1.42
94,1.49,1.39,1.39,1.49
95,1.44,1.38,1.43,1.44
96,1.44,1.44,1.44,1.44
97,1.44,1.42,1.42,1.44
98,1.42,1.4,1.4,1.42
99,1.42,1.42,1.42,1.42
100,1.44,1.33,1.33,1.44
101,1.33,1.32,1.33,1.32
102,1.33,1.31,1.33,1.31
103,1.38,1.38,1.38,1.38
104,1.44,1.33,1.37,1.35
105,1.37,1.34,1.34,1.37
106,1.32,1.3,1.32,1.3
107,1.34,1.31,1.31,1.34
108,1.34,1.31,1.34,1.31
109,1.34,1.31,1.33,1.31
110,1.3,1.3,1.3,1.3
111,1.3,1.3,1.3,1.3
112,1.3,1.3,1.3,1.3
113,1.3,1.3,1.3,1.3
114,1.31,1.31,1.31,1.31
115,1.32,1.32,1.32,1.32
116,1.35,1.3,1.35,1.31
117,1.35,1.29,1.29,1.35
118,1.26,1.24,1.24,1.26
119,1.21,1.2,1.2,1.2
120,1.21,1.16,1.16,1.21
121,1.29,1.14,1.29,1.16
122,1.3,1.02,1.02,1.3
123,1.06,1.01,1.05,1.02
124,1.08,1.03,1.08,1.04
125,1.11,1.06,1.08,1.11
126,1.26,1.07,1.26,1.07
127,1.28,1.26,1.27,1.27
128,1.27,1.26,1.26,1.27
129,1.29,1.26,1.29,1.26
130,1.29,1.22,1.22,1.29
131,1.3,1.1,1.23,1.28
132,1.32,1.22,1.32,1.23
133,1.38,1.31,1.31,1.35
134,1.34,1.25,1.25,1.28
135,1.27,1.13,1.27,1.25
136,1.44,1.3,1.31,1.3
137,1.43,1.3,1.3,1.3
138,1.44,1.3,1.43,1.31
139,1.49,1.45,1.49,1.45
140,1.62,1.5,1.62,1.5
141,1.65,1.63,1.65,1.63
142,1.66,1.65,1.65,1.65
143,1.67,1.64,1.67,1.64
144,1.74,1.66,1.7,1.66
145,1.71,1.7,1.71,1.7
146,1.7,1.69,1.69,1.7
147,1.69,1.67,1.68,1.67
148,1.68,1.67,1.67,1.68
149,1.68,1.68,1.68,1.68
150,1.69,1.68,1.69,1.68
151,1.7,1.68,1.7,1.68
152,1.7,1.68,1.7,1.68
153,1.82,1.68,1.82,1.68
154,1.86,1.82,1.86,1.82
155,1.87,1.87,1.87,1.87
156,1.87,1.85,1.87,1.87
157,1.93,1.86,1.93,1.86
158,1.94,1.88,1.88,1.94
159,1.88,1.86,1.86,1.88
160,1.88,1.88,1.88,1.88
161,1.88,1.82,1.82,1.88
162,1.82,1.82,1.82,1.82
163,1.85,1.79,1.85,1.82
164,1.85,1.85,1.85,1.85
165,1.88,1.84,1.84,1.85
166,1.84,1.83,1.83,1.84
167,1.83,1.78,1.81,1.83
168,1.83,1.81,1.82,1.81
169,1.83,1.81,1.82,1.81
170,1.82,1.8,1.8,1.82
171,1.8,1.78,1.78,1.8
172,1.78,1.78,1.78,1.78
173,1.79,1.76,1.79,1.76
174,1.85,1.82,1.83,1.82
175,1.83,1.7,1.72,1.83
176,1.72,1.72,1.72,1.72
177,1.72,1.63,1.63,1.72
178,1.69,1.69,1.69,1.69
179,1.69,1.66,1.69,1.66
180,1.7,1.7,1.7,1.7
181,1.69,1.63,1.63,1.69
182,1.77,1.65,1.77,1.65
183,1.79,1.76,1.76,1.77
184,1.76,1.75,1.75,1.76
185,1.75,1.75,1.75,1.75
186,1.74,1.73,1.73,1.74
187,1.74,1.72,1.74,1.73
188,1.74,1.71,1.71,1.71
189,1.75,1.7,1.72,1.74
190,1.73,1.65,1.66,1.73
191,1.69,1.61,1.64,1.64
192,1.72,1.63,1.72,1.64
193,1.88,1.72,1.85,1.72
194,1.95,1.86,1.94,1.89
195,1.97,1.93,1.96,1.96
196,2.07,1.95,2.07,1.96
197,2.07,2.06,2.06,2.06
198,2.09,2.05,2.07,2.06
199,2.18,2.08,2.17,2.08
200,2.21,2.16,2.21,2.16
201,2.22,2.2,2.21,2.22
202,2.23,2.22,2.22,2.23
203,2.24,2.2,2.21,2.24
204,2.23,2.23,2.23,2.23
205,2.24,2.2,2.23,2.2
206,2.25,2.22,2.22,2.25
207,2.24,2.22,2.23,2.22
208,2.24,2.22,2.24,2.23
209,2.26,2.2,2.26,2.2
210,2.26,2.26,2.26,2.26
211,2.27,2.25,2.27,2.25
212,2.27,2.26,2.26,2.27
213,2.27,2.21,2.22,2.21
214,2.26,2.21,2.26,2.21
215,2.29,2.29,2.29,2.29
216,2.27,2.2,2.24,2.27
217,2.32,2.21,2.29,2.31
218,2.25,2.23,2.24,2.25
219,2.27,2.24,2.27,2.25
220,2.29,2.27,2.27,2.29
221,2.29,2.28,2.29,2.28
222,2.31,2.31,2.31,2.31
223,2.31,2.31,2.31,2.31
224,2.32,2.29,2.32,2.29
225,2.32,2.24,2.27,2.32
226,2.27,2.25,2.25,2.27
227,2.27,2.25,2.26,2.27
228,2.31,2.27,2.3,2.28
229,2.28,2.27,2.28,2.27
230,2.32,2.3,2.32,2.3
231,2.33,2.3,2.3,2.33
232,2.32,2.3,2.32,2.3
233,2.33,2.32,2.32,2.33
234,2.32,2.32,2.32,2.32
235,2.33,2.27,2.3,2.27
236,2.32,2.32,2.32,2.32
237,2.32,2.32,2.32,2.32
238,2.33,2.28,2.32,2.28
239,2.36,2.32,2.36,2.32
240,2.37,2.36,2.36,2.37
241,2.38,2.37,2.37,2.38
242,2.43,2.37,2.38,2.43
243,2.42,2.38,2.39,2.38
244,2.43,2.43,2.43,2.43
245,2.45,2.45,2.45,2.45
246,2.43,2.43,2.43,2.43
247,2.46,2.45,2.45,2.46
248,2.46,2.4,2.4,2.46
249,2.39,2.39,2.39,2.39
250,2.38,2.36,2.38,2.36
251,2.38,2.38,2.38,2.38
252,2.39,2.39,2.39,2.39
253,2.38,2.36,2.36,2.38
254,2.33,2.33,2.33,2.33
255,2.38,2.38,2.38,2.38
256,2.38,2.38,2.38,2.38
257,2.34,2.3,2.34,2.3
258,2.38,2.33,2.36,2.38
259,2.39,2.39,2.39,2.39
260,2.4,2.4,2.4,2.4
261,2.4,2.31,2.31,2.4
262,2.33,2.33,2.33,2.33
263,2.38,2.31,2.34,2.31
264,2.4,2.38,2.38,2.4
265,2.4,2.4,2.4,2.4
266,2.48,2.38,2.4,2.41
267,2.4,2.4,2.4,2.4
268,2.42,2.39,2.39,2.42
269,2.39,2.39,2.39,2.39
270,2.39,2.38,2.38,2.39
271,2.4,2.38,2.4,2.38
272,2.4,2.39,2.4,2.4
273,2.4,2.39,2.39,2.39
274,2.42,2.39,2.42,2.39
275,2.42,2.4,2.42,2.4
276,2.43,2.38,2.43,2.38
277,2.43,2.41,2.41,2.43
278,2.43,2.37,2.37,2.43
279,2.44,2.37,2.38,2.37
280,2.43,2.38,2.38,2.39
281,2.36,2.36,2.36,2.36
282,2.38,2.35,2.36,2.38
283,2.36,2.29,2.35,2.35
284,2.34,2.33,2.33,2.34
285,2.35,2.31,2.32,2.34
286,2.34,2.31,2.31,2.34
287,2.33,2.3,2.31,2.3
288,2.35,2.26,2.33,2.35
289,2.42,2.25,2.36,2.33
290,2.48,2.28,2.3,2.48
291,2.39,2.28,2.39,2.31
292,2.44,2.4,2.44,2.4
293,2.46,2.42,2.46,2.42
294,2.46,2.44,2.44,2.46
295,2.43,2.42,2.43,2.43
296,2.45,2.43,2.45,2.43
297,2.48,2.45,2.48,2.46
298,2.5,2.48,2.49,2.48
299,2.52,2.49,2.49,2.52
300,2.47,2.47,2.47,2.47
301,2.47,2.47,2.47,2.47
302,2.47,2.47,2.47,2.47
303,2.48,2.47,2.47,2.48
304,2.48,2.47,2.48,2.47
305,2.47,2.47,2.47,2.47
306,2.5,2.48,2.5,2.49
307,2.5,2.48,2.48,2.5
308,2.5,2.49,2.49,2.5
309,2.5,2.46,2.47,2.5
310,2.47,2.47,2.47,2.47
311,2.47,2.46,2.47,2.46
312,2.47,2.46,2.47,2.46
313,2.48,2.46,2.48,2.46
314,2.5,2.47,2.47,2.5
315,2.49,2.43,2.49,2.46
316,2.51,2.45,2.51,2.47
317,2.53,2.53,2.53,2.53
318,2.53,2.51,2.53,2.51
319,2.54,2.53,2.54,2.53
320,2.54,2.52,2.54,2.52
321,2.54,2.54,2.54,2.54
322,2.54,2.54,2.54,2.54
323,2.54,2.5,2.54,2.5
324,2.58,2.56,2.56,2.58
325,2.55,2.54,2.55,2.54
326,2.55,2.54,2.55,2.54
327,2.54,2.54,2.54,2.54
328,2.56,2.47,2.56,2.54
329,2.61,2.61,2.61,2.61
330,2.62,2.53,2.62,2.53
331,2.63,2.56,2.56,2.63
332,2.55,2.53,2.55,2.53
333,2.58,2.53,2.58,2.53
334,2.6,2.58,2.6,2.58
335,2.61,2.6,2.6,2.61
336,2.6,2.57,2.57,2.6
337,2.57,2.57,2.57,2.57
338,2.61,2.6,2.6,2.61
339,2.6,2.6,2.6,2.6
340,2.61,2.59,2.59,2.61
341,2.57,2.56,2.57,2.56
342,2.59,2.59,2.59,2.59
343,2.59,2.59,2.59,2.59
344,2.61,2.61,2.61,2.61
345,2.61,2.6,2.6,2.61
346,2.6,2.59,2.59,2.6
347,2.59,2.52,2.52,2.59
348,2.51,2.51,2.51,2.51
349,2.51,2.51,2.51,2.51
350,2.48,2.48,2.48,2.48
351,2.49,2.47,2.49,2.47
352,2.5,2.5,2.5,2.5
353,2.5,2.5,2.5,2.5
354,2.51,2.51,2.51,2.51
355,2.53,2.51,2.52,2.53
356,2.5,2.5,2.5,2.5
357,2.5,2.5,2.5,2.5
358,2.52,2.51,2.52,2.51
359,2.54,2.53,2.54,2.53
360,2.57,2.54,2.57,2.54
361,2.56,2.56,2.56,2.56
362,2.57,2.57,2.57,2.57
363,2.57,2.51,2.54,2.55
364,2.55,2.55,2.55,2.55
365,2.54,2.52,2.53,2.54
366,2.54,2.54,2.54,2.54
367,2.54,2.51,2.51,2.54
368,2.51,2.51,2.51,2.51
369,2.51,2.51,2.51,2.51
370,2.54,2.51,2.54,2.51
371,2.55,2.53,2.54,2.55
372,2.56,2.52,2.52,2.54
373,2.53,2.51,2.52,2.52
374,2.51,2.5,2.5,2.51
375,2.51,2.51,2.51,2.51
376,2.5,2.49,2.49,2.5
377,2.49,2.46,2.46,2.49
378,2.47,2.45,2.46,2.47
379,2.47,2.46,2.47,2.46
380,2.47,2.46,2.46,2.47
381,2.46,2.46,2.46,2.46
382,2.45,2.45,2.45,2.45
383,2.45,2.44,2.44,2.45
384,2.45,2.45,2.45,2.45
385,2.45,2.45,2.45,2.45
386,2.45,2.44,2.45,2.44
387,2.45,2.45,2.45,2.45
388,2.45,2.45,2.45,2.45
389,2.45,2.45,2.45,2.45
390,2.44,2.43,2.43,2.44
391,2.45,2.42,2.45,2.42
392,2.46,2.42,2.42,2.46
393,2.43,2.4,2.43,2.41
394,2.46,2.43,2.46,2.43
395,2.47,2.47,2.47,2.47
396,2.48,2.47,2.48,2.47
397,2.48,2.48,2.48,2.48
398,2.48,2.48,2.48,2.48
399,2.48,2.47,2.47,2.48
